,Номер поручения,Заказчик,Дата поручения,Предполагаемая дата выполнения,Затрачено дней,Сумма вознаграждения,Исполнитель,group
0,11134,Иван,1053-09-04 00:00:00,,,27500,,0
1,11056,Мария,1053-09-06 00:00:00,,,23500,,1
2,11381,Егор,1053-09-20 00:00:00,,,7000,,0
3,11311,Бабушка Синь,1053-09-20 00:00:00,,,19000,,1
4,11417,Леонтия,1053-09-22 00:00:00,,,20500,,1
5,11310,Надя,1053-09-24 00:00:00,,,5000,,2
6,11285,Чарли,1053-09-30 00:00:00,,,5000,,1
7,11218,Олег,1053-10-01 00:00:00,,,16000,,2
8,11161,Эмилио,1053-10-03 00:00:00,,,7500,,1
9,11387,Татьяна,1053-10-13 00:00:00,,,6500,,1
10,11143,Егор,1053-10-18 00:00:00,,,10500,,3
11,11232,Бабушка Синь,1053-10-22 00:00:00,,,17500,,2
12,11234,Олег,1053-10-24 00:00:00,,,17000,,0
13,11396,Анна,1053-10-31 00:00:00,,,23000,,0
14,11428,Эмилио,1053-11-04 00:00:00,,,12500,,0
15,11402,Егор,1053-11-12 00:00:00,,,12000,,1
16,11306,Олег,1053-11-15 00:00:00,,,17000,,2
17,11438,Влад,1053-11-19 00:00:00,,,11000,,1
18,11462,Егор,1053-11-22 00:00:00,,,19500,,2
